customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn_binary,charges_per_month_tenure,total_services,churn_probability,churn_predicted,risk_tier
7590-VHVEG,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,2,29.85,29.85,No,0,14.925,1,0.835694,1,High
5575-GNVDE,1,0,0,0,34,1,0,0,1,0,1,0,0,0,1,0,3,56.95,1889.5,No,0,1.6271428571428572,2,0.0482069,0,Low
3668-QPYBK,1,0,0,0,2,1,0,0,1,1,0,0,0,0,0,1,3,53.85,108.15,Yes,1,17.95,2,0.6935883,1,High
7795-CFOCW,1,0,0,0,45,0,0,0,1,0,1,1,0,0,1,0,0,42.3,1840.75,No,0,0.9195652173913043,3,0.02747262,0,Low
9237-HQITU,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,70.7,151.65,Yes,1,23.566666666666666,0,0.80517566,1,High
9305-CDSKC,0,0,0,0,8,1,1,1,0,0,1,0,1,1,0,1,2,99.65,820.5,Yes,1,11.072222222222223,3,0.95743686,1,High
1452-KIOVK,1,0,0,1,22,1,1,1,0,1,0,0,1,0,0,1,1,89.1,1949.4,No,0,3.8739130434782605,2,0.57865286,1,Medium
6713-OKOMC,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,3,29.75,301.9,No,0,2.7045454545454546,1,0.37847048,0,Medium
7892-POOKP,0,0,1,0,28,1,1,1,0,0,1,1,1,1,0,1,2,104.8,3046.05,Yes,1,3.613793103448276,4,0.7606842,1,High
6388-TABGU,1,0,0,1,62,1,0,0,1,1,0,0,0,0,1,0,0,56.15,3487.95,No,0,0.8912698412698412,2,0.0092811575,0,Low
9763-GRSKD,1,0,1,1,13,1,0,0,1,0,0,0,0,0,0,1,3,49.95,587.45,No,0,3.567857142857143,1,0.22921719,0,Low
7469-LKBCI,1,0,0,0,16,1,0,2,0,0,0,0,0,0,2,0,1,18.95,326.8,No,0,1.1147058823529412,0,0.008682817,0,Low
8091-TTVAX,1,0,1,0,58,1,1,1,0,0,1,0,1,1,1,0,1,100.35,5681.1,No,0,1.7008474576271186,3,0.3330436,0,Medium
0280-XJGEX,1,0,0,0,49,1,1,1,0,1,1,0,1,1,0,1,0,103.7,5036.3,Yes,1,2.074,4,0.71771884,1,High
5129-JLPIS,1,0,0,0,25,1,0,1,1,0,1,1,1,1,0,1,2,105.5,2686.05,No,0,4.0576923076923075,5,0.8569362,1,High
3655-SNQYZ,0,0,1,1,69,1,1,1,1,1,1,1,1,1,2,0,1,113.25,7895.15,No,0,1.6178571428571429,6,0.041668657,0,Low
8191-XWSZG,0,0,0,0,52,1,0,2,0,0,0,0,0,0,1,0,3,20.65,1022.95,No,0,0.38962264150943393,0,0.010168645,0,Low
9959-WOFKT,1,0,0,1,71,1,1,1,1,0,1,0,1,1,2,0,0,106.7,7382.25,No,0,1.4819444444444445,4,0.120051995,0,Low
4190-MFLUW,0,0,1,1,10,1,0,0,0,0,1,1,0,0,0,0,1,55.2,528.35,Yes,1,5.0181818181818185,2,0.28891373,0,Low
4183-MYFRB,0,0,0,0,21,1,0,1,0,1,1,0,0,1,0,1,2,90.05,1862.9,No,0,4.093181818181818,3,0.7405702,1,High
8779-QRDMV,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,2,39.65,39.65,Yes,1,19.825,2,0.93064666,1,High
1680-VDCWW,1,0,1,0,12,1,0,2,0,0,0,0,0,0,1,0,0,19.8,202.25,No,0,1.5230769230769232,0,0.2306371,0,Low
1066-JKSGK,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,3,20.15,20.15,Yes,1,10.075,0,0.70523393,1,High
3638-WEABW,0,0,1,0,58,1,1,0,0,1,0,1,0,0,2,1,1,59.9,3505.1,No,0,1.0152542372881355,2,0.037581913,0,Low
6322-HRPFA,1,0,1,1,49,1,0,0,1,1,0,1,0,0,0,0,1,59.6,2970.3,No,0,1.192,3,0.11122659,0,Low
6865-JZNKO,0,0,0,0,30,1,0,0,1,1,0,0,0,0,0,1,0,55.3,1530.6,No,0,1.7838709677419353,2,0.3185027,0,Medium
6467-CHFZW,1,0,1,1,47,1,1,1,0,1,0,0,1,1,0,1,2,99.35,4749.15,Yes,1,2.0697916666666667,3,0.73855186,1,High
8665-UTDHZ,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,2,30.2,30.2,Yes,1,15.1,1,0.7600357,1,High
5248-YGIJN,1,0,1,0,72,1,1,0,1,1,1,1,1,1,2,1,1,90.25,6369.45,No,0,1.2363013698630136,6,0.002818955,0,Low
8773-HHUOZ,0,0,0,1,17,1,0,0,0,0,0,0,1,1,0,1,3,64.7,1093.1,Yes,1,3.5944444444444446,2,0.53700256,1,Medium
3841-NFECX,0,1,1,0,71,1,1,1,1,1,1,1,0,0,2,1,1,96.35,6766.95,No,0,1.3381944444444445,4,0.011510433,0,Low
4929-XIHVW,1,1,1,0,2,1,0,1,0,0,1,0,1,1,0,1,1,95.5,181.65,No,0,31.833333333333332,3,0.9040619,1,High
6827-IEAUQ,0,0,1,1,27,1,0,0,1,1,1,1,0,0,1,0,3,66.15,1874.45,No,0,2.3625000000000003,4,0.107642844,0,Low
7310-EGVHZ,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,20.2,20.2,No,0,10.1,0,0.45072737,0,Medium
3413-BMNZE,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,45.25,45.25,No,0,22.625,0,0.76561826,1,High
6234-RAAPL,0,0,1,1,72,1,1,1,1,1,0,1,1,0,2,0,0,99.9,7251.7,No,0,1.3684931506849316,4,0.0039307205,0,Low
6047-YHPVI,1,0,0,0,5,1,0,1,0,0,0,0,0,0,0,1,2,69.7,316.9,Yes,1,11.616666666666667,0,0.7982971,1,High
6572-ADKRS,0,0,0,0,46,1,0,1,0,0,1,0,0,0,0,1,1,74.8,3548.3,No,0,1.5914893617021275,1,0.52539265,1,Medium
5380-WJKOV,1,0,0,0,34,1,1,1,0,1,1,0,1,1,0,1,2,106.35,3549.25,Yes,1,3.0385714285714283,4,0.7532568,1,High
8168-UQWWF,0,0,0,0,11,1,1,1,0,0,1,0,1,1,0,1,0,97.85,1105.4,Yes,1,8.154166666666667,3,0.96851134,1,High
8865-TNMNX,1,0,1,1,10,1,0,0,0,1,0,0,0,0,1,0,3,49.55,475.7,No,0,4.504545454545454,1,0.10515697,0,Low
9489-DEDVP,0,0,1,1,70,1,1,0,1,1,0,0,1,0,2,1,1,69.2,4872.35,No,0,0.9746478873239437,3,0.12959175,0,Low
9867-JCZSP,0,0,1,1,17,1,0,2,0,0,0,0,0,0,1,0,3,20.75,418.25,No,0,1.1527777777777777,0,0.037669227,0,Low
4671-VJLCL,0,0,0,0,63,1,1,0,1,1,1,1,1,0,2,1,1,79.85,4861.45,No,0,1.24765625,5,0.04185428,0,Low
4080-IIARD,0,0,1,0,13,1,1,0,1,1,0,1,1,0,0,1,2,76.2,981.45,No,0,5.442857142857143,4,0.2752224,0,Low
3714-NTNFO,0,0,0,0,49,1,1,1,0,0,0,0,0,1,0,1,2,84.5,3906.7,No,0,1.69,1,0.7314203,1,High
5948-UJZLF,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,3,49.25,97.0,No,0,16.416666666666668,1,0.6925433,1,High
7760-OYPDY,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,1,2,80.65,144.15,Yes,1,26.883333333333336,1,0.90225494,1,High
7639-LIAYI,1,0,0,0,52,1,1,0,1,0,0,1,1,1,2,1,1,79.75,4217.8,No,0,1.5047169811320755,4,0.021622408,0,Low
2954-PIBKO,0,0,1,1,69,1,1,0,1,0,1,1,0,0,2,1,1,64.15,4254.1,No,0,0.9164285714285715,3,0.0049175336,0,Low
8012-SOUDQ,0,1,0,0,43,1,1,1,0,1,0,0,1,0,0,1,2,90.25,3838.75,No,0,2.0511363636363638,2,0.55329347,1,Medium
